"";"eRemoved";"nRemoved"
"10708";386237;397366
"10768";386831;400043
"10782";387544;397858
"10789";397053;399160
"10884";385954;399895
"10887";380184;388600
"10890";386446;399995
"10904";386846;400067
"10908";388387;394626
"10933";386370;397545
"10935";380227;396892
"10938";387620;398580
"10946";387591;397868
"10951";377600;398000
"10959";386845;397404
"10979";383700;388950
"11050";388292;400687
"11055";386785;397317
"11058";370298;398807
"11072";387759;397394
"11074";388364;394702
"11076";372264;393348
"11078";384690;399449
"11086";388170;400990
"11135";370410;401910
"11138";394362;408711
"11142";393531;407244
"11158";394236;406547
"11162";394115;408689
"11163";391647;407353
"11169";390775;403250
"11170";390635;402128
"11183";391426;404728
"11188";393543;405691
"11195";388364;401019
"11196";391098;405000
"11197";392702;404261
"11199";393425;407078
"11204";392166;406163
"11206";393514;407152
"11211";393628;405039
"11220";392540;403985
"11229";391378;404933
"11292";389295;403715
"11294";389620;404160
"11297";388457;403915
"11304";393301;406386
"11305";388632;404089
"11308";390567;403069
"11310";388385;401078
"11315";394061;408763
"11319";393577;407108
"11331";393750;404922
"11338";396980;406560
"11340";390805;405177
"11342";389954;414157
"11352";385034;407765
"11353";384600;409200
"11355";388614;412682
"11359";390307;414042
"11360";386538;410340
"11361";384902;411274
"11368";391543;415031
"11374";388070;412710
"11379";388779;412986
"11383";390501;413202
"11454";387393;405944
"11481";390564;413168
"11486";390303;414051
"11488";390037;414206
"11489";382670;410520
"11502";382661;410595
"11517";392138;413417
"11531";390267;414014
"11543";378966;398270
"11548";376065;402221
"11564";378275;401974
"11610";379454;398276
"11620";370800;391800
"11670";379300;402700
"11672";379846;398211
"11680";382228;397976
"11681";371738;393054
"11716";378956;403322
"11719";380529;400659
"11722";381943;398142
"11748";377216;402133
"11749";380417;401092
"11751";373279;404581
"11773";376530;401869
"11778";379480;402335
"11804";373535;395728
"11827";381028;399892
"11831";371063;404094
"11864";379513;398323
"11865";380856;400385
"11874";380431;401049
"11892";373610;404310
"11914";379291;403269
"11941";371260;393068
"11948";380890;400753
"11956";381549;399558
"11979";380790;400160
"12037";374305;403605
"12041";374300;403700
"12047";383354;399493
"12057";373633;403649
"12059";380960;399925
"12077";389345;391157
"12082";392359;392108
"12090";389029;388610
"12109";389386;392462
"12119";387631;392835
"12121";389220;394872
"12128";390045;389856
"12130";392045;392475
"12142";389200;394881
"12151";388230;387500
"12174";394938;388674
